,""" """,,/n,,/tab,,L,,D,,;,,),,",",,+,,-,,/,,*,,=,,>,,<,,!,,',,(,,EOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,-,0,AS10,0,-,1,AS1 AS2,2,AS1 AS2,13,AS1 AS2 AS14,13,AS1 AS2 AS14,13,AS1 AS2 AS14,13,AS1 AS2 AS14,13,AS1 AS2 AS14,13,AS1 AS2 AS14,13,AS1 AS2 AS14,3,AS1 AS2,3,AS1 AS2,3,AS1 AS2,6,AS1 AS2,4,AS1 AS2,5,AS1 AS2,13,AS1 AS2 AS14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,1,AS2,1,AS2,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6  AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS3 AS5 AS6 AS12,13,AS6 AS3 AS5 AS12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,2,AS2,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,13,AS4 AS5 AS3 AS13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS2 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,AS2,13,AS9 AS10 AS11,4,AS2,4,AS2,4,AS2,4,AS2,4,AS2,4,AS2,4,AS2,4,AS2,4,AS2,4,AS2,4,AS2,4,AS2,4,AS2,4,AS2,13,AS2,4,AS2,13,AS5 AS9 AS11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,6,-,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,13,AS5 AS14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,-,6,-,6,-,6,-,6,-,6,-,6,-,6,-,6,-,6,-,6,-,7,-,6,-,6,-,6,-,6,-,6,-,6,-,6,AS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,-,6,-,6,-,6,-,6,-,6,-,0,-,6,-,6,-,6,-,6,-,7,-,6,-,6,-,6,-,6,-,6,-,6,-,6,AS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
